opinia,sentyment
w a y c m z g w j n g a v d c,2
g e z c g x w s a d j e w x q,2
w c a y j g d w h l z p w b d,2
v c x x e v d u b s f l m v e,2
c y u l y z w o a b c h p d z,2
i t w e a v d v z u x e e q k,2
c l v d z e b i y v d q j k x,2
v h e p x c k z l a p w b e z,2
z a b w g j c b h a z v y k g,2
k y b v v e e d h z i d i z s,2
m q r p j o e t f a u c u a c,1
j e m a p c i n h c r q l e n,1
q c e o k o p a j a s s p l a,1
l s d i c e a d q i s o t u n,1
p h e f r g n c l u h a h c b,1
n t g j g p c e c p h j a c u,1
f b l o s o s n a o a e l g a,1
r j l g e f h t m c q d a g d,1
l s f d h a d p o k k u e c n,1
a m d c f j f j g g t i c u a,1
y o y r y y w m t p h h n p s,0
g q q p f o s z w v y q u g w,0
x w i v w n f k l g p j p x f,0
o t p o j z j v g i y z l v n,0
t v h n v q z n v r h p s k w,0
s y k w y u g j i j y f q v o,0
g u p r w n z i z x s g r q y,0
g k s u j q t w i z m z x s y,0
l f m r r f k y x p v m z u y,0
f x g j t v p n y n t y x q k,0
